Model Name,Engine Type,HP or lbs thr ea engine,Max speed Knots,Rcmnd cruise Knots,Stall Knots dirty,Fuel gal/lbs,All eng rate of climb,Eng out rate of climb,Takeoff over 50ft,Landing over 50ft,Empty weight lbs,Length ft/in,Wing span ft/in,Range N.M.,Price
G164A-300 AG CAT,Piston,600,177.0,100.0,52.0,64,1360.0,1050.0,1150.0,"5,200",3650.0,25/6,42/5,200.0,2000000.0
100 Darter (S.L. Industries),Piston,600,128.0,96.0,59.0,46,1600.0,860.0,770.0,"4,500",3160.0,24/4,35/11,148.0,1450000.0
G164A-245 AG CAT,Piston,525,128.0,91.0,52.0,46,1350.0,1706.0,540.0,567,4500.0,"3,150",42/3,155.0,2000000.0
A-2,Piston,450,128.0,91.0,52.0,46,1060.0,1090.0,1150.0,"4,500",3100.0,25/7,42/3,190.0,1450000.0
100 Darter (S.L. Industries),Piston,450,128.0,91.0,58.0,46,990.0,1145.0,750.0,"4,500",2870.0,24/4,35/11,190.0,1400000.0
415-G,Piston,300,128.0,74.0,54.0,46,700.0,1200.0,1000.0,"3,750",2410.0,24/4,35/8,226.0,1150000.0
CH-601-XL/i/650-LS/i,Piston,275,114.0,74.0,54.0,33,600.0,1275.0,1000.0,"3,750",2400.0,24/4,35/8,117.0,1025000.0
8KCAB-150 F/P prop(w/optional speed kit),Piston,245,114.0,70.0,54.0,33,496.0,1300.0,1000.0,"3,750",2300.0,24/4,35/8,174.0,850000.0
7KCAB,Piston,220,114.0,70.0,48.0,33,435.0,1360.0,1000.0,"3,600",2200.0,24/4,35/8,190.0,700000.0
7GCAA,Piston,90,112.0,108.0,37.0,24,640.0,1100.0,1200.0,"1,450",930.0,20/2,30/0,410.0,1730000.0
100 Darter (S.L. Industries),Piston,90,113.0,104.0,50.0,24,600.0,1800.0,1600.0,"1,400",900.0,20/1,30/0,400.0,1600000.0
7GCBC with EDO floats,Piston,85,99.0,96.0,50.0,24,550.0,2100.0,1850.0,"1,400",833.0,20/1,30/0,360.0,1350000.0
7EC,Piston,100,120.0,113.0,38.0,30,1000.0,1706.0,1525.0,"1,320",770.0,20/0,27/0,715.0,1200000.0
Starship 2000 (2000A=increased spds & weights),Piston,150,147.0,137.0,52.0,40,1000.0,1706.0,1525.0,"1,800",1260.0,22/11,32/0,404.0,1600000.0
King Air 260,Piston,150,116.0,109.0,43.0,39,1120.0,535.0,755.0,"1,650",1140.0,22/7,34/5,411.0,1700000.0
B200 Super King Air,Piston,150,109.0,103.0,37.0,37,1140.0,617.0,718.0,"1,650",1050.0,22/9,34/5,411.0,1810000.0
100 Darter (S.L. Industries),Piston,150,113.0,109.0,43.0,39,1120.0,535.0,755.0,"1,650",1140.0,22/8,33/5,411.0,1700000.0
"B100 King Air (prior '79 serv. ceiling=29,100)",Piston,150,113.0,111.0,39.0,35,1145.0,457.0,690.0,"1,650",1150.0,22/8,34/3,480.0,1700000.0
100 Darter (S.L. Industries),Piston,150,97.0,90.0,46.0,39,800.0,1706.0,1525.0,"1,800",1290.0,22/7,34/6,248.0,1600000.0
100 King Air,Piston,115,109.0,107.0,44.0,35,725.0,716.0,775.0,"1,650",1067.0,22/8,33/5,301.0,1200000.0
100 Darter (S.L. Industries),Piston,90,117.0,97.0,38.0,26,700.0,1240.0,700.0,"1,450",820.0,21/6,35/1,350.0,1550000.0
F90 King Air,Piston,60,85.0,75.0,38.0,13,400.0,850.0,1525.0,"1,220",750.0,21/11,35/1,261.0,850000.0
"C90A King Air (LJ-1063 up) (10,100 g/w=SN1138 up)",Piston,160,168.0,160.0,63.0,80,1160.0,1805.0,1330.0,"3,800",2588.0,29/7,36/9,680.0,1740000.0
100 Darter (S.L. Industries),Piston,180,148.0,139.0,53.0,51,850.0,1550.0,1120.0,"2,400",1360.0,22/0,31/6,530.0,1380000.0
100 Darter (S.L. Industries),Piston,150,136.0,127.0,52.0,37,660.0,1600.0,1100.0,"2,200",1323.0,22/0,31/6,428.0,1265000.0
A 90 King Air,Piston,150,130.0,122.0,50.0,38,660.0,1600.0,1100.0,"2,200",1271.0,22/0,31/5,503.0,1265000.0
100 Darter (S.L. Industries),Piston,108,120.0,108.0,52.0,24,705.0,1590.0,1100.0,"1,560",975.0,19/2,24/5,348.0,1275000.0
88 Queen Air pressurized,Piston,108,120.0,109.0,51.0,24,765.0,1400.0,1065.0,"1,500",1007.0,19/3,24/5,350.0,1375000.0
B 80 Queen Air - specs thru 1972,Piston,100,90.0,84.0,33.0,20,700.0,1706.0,1525.0,"1,320",845.0,22/5,35/6,275.0,1500000.0
80 Queen Air,Piston,180,126.0,113.0,36.0,52,1500.0,1706.0,1525.0,"1,800",1190.0,22/7,35/6,696.0,2000000.0
A 65 Queen Air,Piston,600,122.0,96.0,61.0,54,1000.0,1200.0,800.0,"6,000",3400.0,29/4,44/4,275.0,1500000.0
B 60 Duke pressurized (prior '78 t/o run=2006),Piston,600,122.0,108.0,57.0,100,900.0,1706.0,1525.0,"6,000",3700.0,29/4,44/4,275.0,1500000.0
60 Duke Pressurized,Propjet,750,138.0,130.0,57.0,190,1740.0,1706.0,1525.0,"6,000",3600.0,33/0,44/5,545.0,2500000.0
100 Darter (S.L. Industries),Piston,80,157.0,138.0,46.0,17,1000.0,820.0,721.0,"1,320",622.0,20/10,35/5,350.0,2000000.0
100 Darter (S.L. Industries),Propjet,1050,158.0,126.0,52.0,216,650.0,1706.0,1525.0,12500,5829.0,33/6,56,600.0,800000.0
C 50 Twin Bonanza,Propjet,"1,200",335.0,328.0,56.0,560,3225.0,3876.0,2630.0,"14,400",9887.0,46/1,54/5,1722.0,3480000.0
50 Twin Bonanza,Propjet,"1,050",314.0,303.0,56.0,539,2979.0,1706.0,2508.0,"15,000",9051.0,46/8,57/11,1966.0,3500000.0
58 P Baron-press.('77 hgt=9/6) (range based on 190 gal fuel),Propjet,850,310.0,259.0,80.0,3645,2437.0,1706.0,1525.0,12590,8830.0,43/10,57/11,1720.0,3500000.0
58 TC Baron (325) turbochg-non-pressurized,Propjet,850,294.0,279.0,75.0,544,2450.0,3345.0,2845.0,"12,500",7538.0,43/9,54/6,1972.0,3500000.0
100 Darter (S.L. Industries),Propjet,850,290.0,272.0,75.0,544,2450.0,3345.0,2845.0,"12,500",7538.0,43/9,54/6,1870.0,3288000.0
58 Baron (300 hp),Propjet,715,265.0,258.0,83.0,470,1963.0,2951.0,2679.0,"11,800",7082.0,39/11,45/11,1080.0,2485000.0
100 Darter (S.L. Industries),Propjet,680,248.0,235.0,75.0,470,1963.0,3245.0,2944.0,"11,500",6797.0,39/11,45/11,1000.0,2485000.0
A56TC Turbo Baron,Propjet,680,248.0,239.0,73.0,374,2200.0,1729.0,2138.0,"10,600",6440.0,39/9,45/10,1005.0,2590000.0
100 Darter (S.L. Industries),Propjet,750,279.0,265.0,79.0,470,2455.0,2808.0,2275.0,"10,950",6647.0,39/10,45/11,1235.0,3045000.0
E 55 Baron ('70-'72 fuel=142 gal opt),Propjet,750,267.0,261.0,77.0,470,2380.0,2856.0,2275.0,"10,950",6549.0,39/10,45/11,1235.0,2980200.0
100 Darter (S.L. Industries),Propjet,550,250.0,245.0,77.0,474,1870.0,2024.0,2110.0,"10,100",5996.0,35/6,50/3,1290.0,2762000.0
B 55 Baron (1978 & up),Propjet,550,247.0,240.0,75.0,384,2137.0,2261.0,1672.0,"10,100",5765.0,35/6,50/3,1120.0,3000000.0
100 Darter (S.L. Industries),Propjet,550,223.0,217.0,76.0,384,1955.0,2261.0,1672.0,"9,650",5765.0,35/6,50/3,1120.0,2810000.0
100 Darter (S.L. Industries),Propjet,550,223.0,219.0,74.0,384,2000.0,2180.0,2010.0,"9,650",5685.0,36/6,50/3,1185.0,2720000.0
E 95 Travel Air (fuel inj.),Propjet,550,223.0,216.0,77.0,384,1900.0,2150.0,1960.0,"9,300",5680.0,35/6,45/1,1160.0,3020000.0
100 Darter (S.L. Industries),Propjet,500,243.0,235.0,75.0,384,2000.0,1755.0,1870.0,"9,000",5680.0,35/6,45/1,1270.0,2840000.0
"95, B95 Travel Air (95 = 4,000 lb. gross)",Piston,380,214.0,192.0,71.0,264,1275.0,1800.0,2311.0,"8,800",6035.0,35/6,50/3,902.0,2680000.0
100 Darter (S.L. Industries),Piston,380,216.0,196.0,70.0,200,1275.0,2556.0,2572.0,"8,800",5277.0,35/6,50/3,656.0,2680000.0
B 36 TC Bonanza,Piston,380,216.0,195.0,71.0,214,1275.0,1800.0,2311.0,"8,800",5120.0,35/6,50/3,716.0,2680000.0
100 Darter (S.L. Industries),Piston,380,219.0,200.0,70.0,214,1585.0,1800.0,2143.0,"8,500",4900.0,35/6,50/3,716.0,2850000.0
A 36 Bonanza (300 hp),Piston,380,208.0,191.0,67.0,230,1300.0,1450.0,2070.0,"8,000",4800.0,35/2,50/3,746.0,2800000.0
100 Darter (S.L. Industries),Piston,340,208.0,186.0,70.0,214,1375.0,1675.0,2107.0,"8,200",4995.0,35/6,50/4,755.0,3000000.0
36 Bonanza,Piston,340,208.0,186.0,70.0,214,1300.0,1560.0,1750.0,"7,700",4980.0,35/6,45/10,755.0,3130000.0
100 Darter (S.L. Industries),Piston,340,200.0,186.0,70.0,180,1300.0,1700.0,1980.0,"7,700",4640.0,33/3,45/10,630.0,2700000.0
V 35B Bonanza ('80 & up=fuel std 74 gal),Piston,380,246.0,233.0,73.0,142,1601.0,2626.0,3065.0,"6,775",4425.0,33/10,39/3,1010.0,3000000.0
100 Darter (S.L. Industries),Piston,380,249.0,240.0,76.0,142,1601.0,2626.0,3065.0,"6,775",4175.0,33/10,39/3,824.0,3080000.0
V 35 TC Turbo Bonanza,Piston,380,249.0,236.0,76.0,142,1615.0,1660.0,2340.0,"6,725",4100.0,33/10,39/3,824.0,3130000.0
100 Darter (S.L. Industries),Piston,450,204.0,191.0,76.0,198,1400.0,2072.0,1850.0,"9,900",5845.0,35/2,49/8,622.0,2030000.0
S 35 Bonanza,Piston,450,200.0,186.0,73.0,275,1410.0,1980.0,1850.0,"9,700",5910.0,35/1,49/6,880.0,2140000.0
100 Darter (S.L. Industries),Piston,450,203.0,187.0,71.0,206,1250.0,2079.0,1569.0,"9,300",6150.0,33/1,47/7,638.0,2300000.0
"K,M 35 Bonanza",Piston,450,200.0,183.0,67.0,206,1190.0,1760.0,1460.0,"8,750",5770.0,33/1,47/7,632.0,2050000.0
100 Darter (S.L. Industries),Piston,340,204.0,180.0,72.0,180,1270.0,1250.0,1840.0,"7,300",4480.0,31/5,45/9,787.0,2950000.0
H 35 Bonanza,Piston,340,209.0,184.0,72.0,180,1320.0,1250.0,1840.0,"7,000",4460.0,31/5,45/9,813.0,2950000.0
100 Darter (S.L. Industries),Piston,295,186.0,178.0,62.0,134,1450.0,1260.0,1452.0,"6,300",4100.0,31/5,45/9,670.0,2000000.0
"C, D 35 Bonanza",Piston,275,178.0,161.0,60.0,134,1450.0,1260.0,1375.0,"6,000",3956.0,31/5,45/2,726.0,2000000.0
100 Darter (S.L. Industries),Piston,260,177.0,159.0,60.0,134,1450.0,1344.0,1215.0,"6,000",3940.0,31/5,45/2,733.0,2000000.0
35 Bonanza,Piston,260,177.0,158.0,56.0,134,1450.0,1350.0,1215.0,"5,500",3800.0,31/5,45/2,722.0,1900000.0
100 Darter (S.L. Industries),Piston,325,261.0,232.0,78.0,166,1475.0,2643.0,2427.0,"6,200",4026.0,29/11,37/10,1013.0,2500000.0
F & E 33-C Bonanza (conventional tail),Piston,310,256.0,214.0,79.0,166,1529.0,2376.0,2498.0,"6,100",3985.0,29/10,37/10,1130.0,2500000.0
100 Darter (S.L. Industries),Piston,310,231.0,207.0,79.0,166,1424.0,2761.0,2498.0,"6,100",3985.0,29/10,37/10,1104.0,2500000.0
E 33 A Bonanza (conventional tail),Piston,325,261.0,232.0,78.0,166,1475.0,2643.0,2427.0,"6,200",3788.0,29/11,37/10,1013.0,2500000.0
100 Darter (S.L. Industries),Piston,310,250.0,214.0,79.0,166,1461.0,2376.0,2498.0,"6,100",3780.0,29/10,37/10,1130.0,2500000.0
C 33 A Debonair,Piston,300,208.0,195.0,74.0,136,1750.0,2371.0,2498.0,"5,500",3443.0,29/10,37/10,1109.0,2068800.0
100 Darter (S.L. Industries),Piston,285,208.0,195.0,74.0,136,1660.0,2101.0,2498.0,"5,400",3361.0,29/10,37/10,1109.0,1860000.0
"A,B 33 Debonair",Piston,380,252.0,247.0,73.0,142,2020.0,1420.0,2080.0,"5,990",3700.0,29/0,37/10,737.0,3220000.0
100 Darter (S.L. Industries),Piston,380,252.0,247.0,73.0,142,2020.0,1420.0,2080.0,"5,990",3650.0,28/3,37/10,737.0,3220000.0
"C-24R Sierra 200 (prior'78 svc. ceil=16,400)",Piston,285,208.0,195.0,73.0,100,1682.0,968.0,1414.0,"5,300",3291.0,29/0,37/10,934.0,1910000.0
100 Darter (S.L. Industries),Piston,285,210.0,200.0,67.0,112,1670.0,968.0,1414.0,"5,300",3075.0,28/3,37/10,550.0,2090000.0
A-24R Sierra 200,Piston,260,201.0,184.0,73.0,100,1693.0,2154.0,2148.0,"5,100",3236.0,28/0,37/10,739.0,1930000.0
100 Darter (S.L. Industries),Piston,260,205.0,196.0,68.0,112,1670.0,1225.0,1370.0,"5,100",3075.0,27/0,37/10,763.0,1970000.0
C 23 Sundowner (pre '76 fuel=52 gal) pre'82=less mph,Piston,260,200.0,191.0,66.0,112,1700.0,1700.0,1470.0,"4,880",2960.0,26/5,37/8,745.0,1950000.0
100 Darter (S.L. Industries),Piston,260,200.0,191.0,66.0,112,1630.0,1700.0,1470.0,"4,880",2960.0,25/7,37/8,745.0,1920000.0
"A 23, A23A Musketeer (A=2,400 lb gross)",Piston,180,183.0,174.0,61.0,80,1250.0,1280.0,1590.0,"4,200",2650.0,25/1,37/1,661.0,1810000.0
100 Darter (S.L. Industries),Piston,180,183.0,174.0,61.0,80,1250.0,2100.0,1850.0,"4,200",2635.0,25/3,37/1,661.0,1810000.0
B 19 Sport 150 (76' & prior fuel=52 gal),Piston,180,183.0,170.0,61.0,80,1250.0,2100.0,1850.0,"4,100",2635.0,25/3,37/9,661.0,1810000.0
100 Darter (S.L. Industries),Piston,180,171.0,158.0,60.0,100,1248.0,2119.0,1881.0,"3,900",2460.0,29/0,38/0,843.0,1965000.0
77 Skipper ('79-'80 height=7/11),Piston,300,213.0,190.0,57.0,102,1049.0,2364.0,1692.0,"3,850",2338.0,27/6,37/10,957.0,2500000.0
"17-31 ATC Turbo, 300-Lyc. (prior '78=8 gal less)",Piston,300,214.0,190.0,57.0,74,1165.0,2012.0,1449.0,"3,650",2278.0,27/6,33/6,800.0,2500000.0
"17-31A, (prior '78=8 gal less fuel + 6 mph less)",Piston,300,184.0,169.0,59.0,74,1210.0,1913.0,1473.0,"3,650",2247.0,27/6,33/6,720.0,1850000.0
100 Darter (S.L. Industries),Piston,285,179.0,168.0,52.0,74,10303.0,2040.0,1450.0,"3,600",2195.0,27/6,33/6,697.0,1660000.0
"17-30A, (1979 & up; 1993 & up + 5 mph; IO-550 +6 mph)",Piston,285,177.0,170.0,56.0,50,1015.0,1525.0,1240.0,"3,600",1980.0,26/4,32/10,510.0,1600000.0
100 Darter (S.L. Industries),Piston,285,217.0,200.0,55.0,50,1225.0,1320.0,1177.0,"3,400",2027.0,26/4,33/5,600.0,2950000.0
17-30-300 Viking (Continental eng),Piston,285,182.0,172.0,51.0,74,11673.0,1769.0,1324.0,"3,400",2286.5,26/5,33/6,717.0,1785800.0
100 Darter (S.L. Industries),Piston,285,183.0,177.0,55.0,44,1136.0,1320.0,1177.0,"3,400",1960.0,26/4,33/5,536.0,1750000.0
14-19-2 Cruisemaster,Piston,285,209.0,195.0,55.0,50,1225.0,1320.0,1177.0,"3,400",1950.0,26/4,33/5,580.0,2660000.0
100 Darter (S.L. Industries),Piston,285,183.0,177.0,55.0,50,1136.0,1320.0,1177.0,"3,400",1915.0,26/4,33/5,543.0,1750000.0
14-13 Cruiseair Sr.,Piston,285,184.0,178.0,54.0,50,1200.0,1225.0,1150.0,"3,300",1915.0,26/4,33/5,543.0,1830000.0
55 (1984-'85),Piston,260,178.0,170.0,52.0,50,1150.0,1260.0,1100.0,"3,125",1855.0,25/2,33/5,535.0,1920000.0
55 (thru 1983),Piston,250,183.0,170.0,52.0,49,1170.0,1185.0,1050.0,"2,950",1832.0,25/1,33/5,495.0,2000000.0
100 Darter (S.L. Industries),Piston,250,183.0,174.0,50.0,39,1250.0,1175.0,1050.0,"2,900",1820.0,25/1,32/9,492.0,2130000.0
100 Darter (S.L. Industries),Piston,240,179.0,165.0,50.0,39,1225.0,1260.0,1050.0,"2,900",1820.0,25/1,32/9,470.0,1980000.0
"36 A (prior'82 = gross weight @ 18,000)",Piston,225,169.0,160.0,48.0,39,1300.0,1270.0,1025.0,"2,775",1722.0,25/1,32/9,550.0,1900000.0
36,Piston,205,165.0,152.0,48.0,39,1100.0,1500.0,975.0,"2,700",1650.0,25/1,32/9,510.0,1800000.0
100 Darter (S.L. Industries),Piston,196,160.0,148.0,49.0,39,890.0,1515.0,950.0,"2,650",1575.0,25/1,32/9,470.0,1710000.0
100 Darter (S.L. Industries),Piston,185,160.0,150.0,48.0,39,950.0,1440.0,925.0,"2,550",1458.0,25/1,32/9,530.0,1800000.0
100 Darter (S.L. Industries),Piston,260,177.0,168.0,49.0,50,1060.0,1516.0,1150.0,"3,300",1935.0,25/5,32/9,513.0,1660000.0
28 Longhorn,Piston,285,181.0,174.0,53.0,50,1200.0,1225.0,1150.0,"3,300",1918.0,25/6,32/9,520.0,1830000.0
"25 D,F w/6 engs=45,000 service ceiling (prior '82 more rate of climb)",Piston,285,182.0,172.0,51.0,74,11673.0,1769.0,1324.0,"3,400",2125.0,26/8,33/6,717.0,1785800.0
100 Darter (S.L. Industries),Piston,285,181.0,174.0,53.0,50,1200.0,1225.0,1150.0,"3,300",1915.0,25/6,32/10,520.0,1830000.0
25 C (1973 thru 1975),Piston,225,170.0,161.0,52.0,50,930.0,1288.0,1298.0,"3,050",1862.0,25/6,32/10,520.0,1780000.0
100 Darter (S.L. Industries),Piston,285,181.0,174.0,53.0,50,1200.0,1225.0,1150.0,"3,300",1775.0,25/6,32/10,520.0,1830000.0
"24 F (w/8A engs=51,000 service ceil)",Piston,225,170.0,161.0,52.0,50,980.0,1288.0,1298.0,"3,050",1854.0,25/6,32/10,568.0,1830000.0
100 Darter (S.L. Industries),Piston,225,170.0,161.0,52.0,50,960.0,1235.0,1282.0,"3,000",1745.0,25/6,32/10,568.0,1840000.0
24 D (1973 thru 1975),Piston,225,170.0,161.0,52.0,50,1010.0,1235.0,1282.0,"2,900",1730.0,25/5,32/8,550.0,1980000.0
100 Darter (S.L. Industries),Piston,200,145.0,137.0,60.0,57,927.0,1561.0,1462.0,"2,750",1696.0,25/9,32/9,647.0,1538500.0
24 C,Piston,200,140.0,131.0,55.0,52,891.0,1804.0,1519.0,"2,750",1711.0,25/8,32/9,591.0,1434200.0
100 Darter (S.L. Industries),Piston,200,148.0,141.0,57.0,58,862.0,1630.0,1380.0,"2,750",1610.0,25/8,32/9,704.0,1435000.0
24 Twin Jet,Piston,200,137.0,130.0,52.0,60,880.0,1380.0,1300.0,"2,550",1410.0,25/1,32/7,643.0,1485000.0
100 Darter (S.L. Industries),Piston,180,128.0,116.0,51.0,57,792.0,1955.0,1484.0,"2,450",1494.0,25/9,32/9,565.0,1260000.0
100 Darter (S.L. Industries),Piston,180,127.0,120.0,50.0,60,728.0,1460.0,1260.0,"2,400",1375.0,25/1,32/7,565.0,1187000.0
650 Citation VII,Piston,165,127.0,120.0,50.0,60,880.0,1460.0,1260.0,"2,350",1325.0,25/1,32/7,565.0,1187000.0
650 Citation VI,Piston,160,123.0,111.0,52.0,60,720.0,1275.0,1260.0,"2,300",1300.0,25/1,32/7,800.0,1350000.0
100 Darter (S.L. Industries),Piston,150,110.0,107.0,50.0,57,680.0,1635.0,1693.0,"2,150",1414.0,25/9,32/9,643.0,1165000.0
650 Citation III (thru SN 099),Piston,150,122.0,114.0,48.0,60,900.0,1255.0,1220.0,"2,200",1325.0,25/1,32/7,800.0,1490000.0
100 Darter (S.L. Industries),Piston,115,106.0,97.0,47.0,29,720.0,1280.0,1313.0,"1,675",1103.0,24/0,30/0,370.0,1290000.0
100 Darter (S.L. Industries),Piston,300,193.0,187.0,61.0,68,1170.0,1420.0,1340.0,"3,325",2372.0,26/4,34/2,760.0,2400000.0
100 Darter (S.L. Industries),Piston,300,174.0,165.0,61.0,68,1170.0,1420.0,1340.0,"3,325",2247.0,26/4,34/2,483.0,1820000.0
S550 Citation SII,Piston,250,193.0,187.0,54.0,72,1800.0,890.0,1100.0,"3,200",2010.0,23/7,34/2,760.0,2400000.0
Citation II 550 (thru SN 626),Piston,300,181.0,176.0,61.0,68,1210.0,1420.0,1340.0,"3,325",2185.0,26/4,34/2,550.0,2000000.0
100 Darter (S.L. Industries),Piston,300,166.0,163.0,61.0,60,1085.0,1420.0,1340.0,"3,325",2217.0,26/4,34/2,550.0,1700000.0
Citation CJ3 525B,Piston,300,167.0,163.0,54.0,58,1840.0,890.0,1050.0,"3,200",1900.0,23/7,34/2,550.0,2100000.0
100 Darter (S.L. Industries),Piston,260,181.0,177.0,54.0,58,1500.0,990.0,825.0,"3,000",1750.0,23/6,34/2,639.0,2250000.0
100 Darter (S.L. Industries),Piston,230,179.0,170.0,42.0,40,1400.0,1025.0,1150.0,"2,700",1640.0,22/9,34/2,452.0,2000000.0
Citation I 500,Piston,190,174.0,157.0,38.0,40,1250.0,1270.0,1025.0,"2,600",1575.0,23/0,34/2,435.0,2150000.0
100 Darter (S.L. Industries),Piston,150,147.0,130.0,38.0,40,1100.0,1350.0,975.0,"2,100",1520.0,21/2,34/2,591.0,1950000.0
402C Business Liner II,Jet,"3,700",455.0,417.0,56.0,6707,4059.0,5600.0,3300.0,"21,500",12135.0,55/1,43/9,1715.0,5100000.0
"402,-A turbocharged",Jet,"3,700",457.0,169.0,56.0,6707,4380.0,4540.0,3109.0,"19,500",12130.0,55/1,43/9,1715.0,5100000.0
100 Darter (S.L. Industries),Jet,"8,650",480.0,442.0,56.0,16665,4200.0,5400.0,3300.0,"43,250",19950.0,68/5,61/10,3391.0,4100000.0
100 Darter (S.L. Industries),Jet,"7,500",480.0,442.0,56.0,14890,3400.0,5700.0,3300.0,"41,400",18660.0,68/5,61/10,2991.0,4100000.0
T 310 P turbocharged,Jet,"3,500",491.0,460.0,99.0,7400,4340.0,4972.0,3075.0,"18,300",9838.0,48/8,39/6,2289.0,4500000.0
310 Q,Jet,"3,500",477.0,441.0,105.0,7431,5100.0,4080.0,3105.0,"17,000",8802.0,48/7,39/5,2289.0,4500000.0
100 Darter (S.L. Industries),Jet,"3,500",471.0,460.0,99.0,6198,4760.0,4972.0,3075.0,"18,300",9838.0,48/8,39/6,1818.0,4500000.0
100 Darter (S.L. Industries),Jet,"3,500",477.0,441.0,105.0,6171,5100.0,4080.0,3105.0,"17,000",8762.0,48/7,39/5,1818.0,4500000.0
100 Darter (S.L. Industries),Jet,"2,950",478.0,441.0,79.0,5373,6110.0,2880.0,2220.0,"15,000",8157.0,47/7,43/9,1546.0,4790000.0
"310,-A",Jet,"2,950",475.0,441.0,79.0,4704,6350.0,2630.0,2220.0,"15,000",8195.0,47/7,43/9,1450.0,4880000.0
"T 337 G-P II,H-P, Skymaster pressurized",Jet,"2,950",464.0,459.0,97.0,6098,6830.0,3937.0,2817.0,"15,000",7950.0,47/7,35/7,1431.0,5100000.0
100 Darter (S.L. Industries),Jet,"2,950",464.0,441.0,104.0,6098,6050.0,5186.0,3090.0,"15,000",7355.0,47/6,35/7,1450.0,4500000.0
T 337 E & F Skymaster turbocharged,Jet,"2,950",464.0,441.0,104.0,7464,6050.0,5186.0,3090.0,"15,000",7233.0,47/6,35/7,1525.0,4500000.0
100 Darter (S.L. Industries),Jet,"2,950",477.0,442.0,90.0,6098,6050.0,5186.0,2703.0,"15,000",7206.0,47/6,35/6,1385.0,4500000.0
T 337 C Skymaster turbocharged,Jet,"2,950",475.0,441.0,88.0,5628,7100.0,3297.0,2873.0,"13,500",7130.0,43/3,35/6,1001.0,4500000.0
100 Darter (S.L. Industries),Jet,"2,950",477.0,441.0,88.0,4791,7220.0,3000.0,2789.0,"12,900",7025.0,43/3,35/6,730.0,4500000.0
"337 G,H II Skymaster (prior '79 service ceiling=18,000)",Jet,"2,950",464.0,441.0,99.0,5628,6800.0,3917.0,2800.0,"13,500",6988.0,43/3,35/7,1001.0,4500000.0
100 Darter (S.L. Industries),Jet,"2,950",477.0,442.0,87.0,840,6800.0,3917.0,2703.0,"13,500",6803.0,43/3,35/6,1001.0,4500000.0
337 E Skymaster,Jet,"2,950",461.0,442.0,88.0,715,6900.0,3370.0,2850.0,"12,500",6519.0,43/3,35/6,1385.0,4500000.0
100 Darter (S.L. Industries),Jet,"2,950",474.0,437.0,88.0,834,6300.0,3100.0,3307.0,"13,500",6927.0,43/3,35/7,1001.0,4500000.0
337 C Skymaster,Jet,"2,850",469.0,417.0,90.0,847,6300.0,3100.0,3350.0,"13,000",7090.0,43/2,35/7,1100.0,4100000.0
100 Darter (S.L. Industries),Jet,"2,850",488.0,423.0,89.0,828,6900.0,2940.0,2800.0,"12,500",6700.0,43/2,35/7,1000.0,4100000.0
208 Caravan-675,Jet,"6,400",0.92,511.0,56.0,13000,3720.0,5710.0,3820.0,"35,700",21400.0,72/2,63/9,3250.0,5100000.0
100 Darter (S.L. Industries),Jet,"4,000",0.85,476.0,97.0,7385,4442.0,4690.0,2910.0,"22,450",13700.0,55/5,53/5,2300.0,5100000.0
